M1	M2	M3	M4	M5	M6	M7	M8	M9	M10	M11	M12	M13	M14	M15	M16	M17	M18	M19	M20	M21	M22	M23	M24	M25	M26	M27	M28	M29	M30	M31	M32	M33	M34	M35	M36	M37	M38	M39	M40	M41	M42	M43	M44	M45	M46	M47	M48	M49	M50	M51	M52	M53	M54	M55	M56	M57	M58	M59	M60	M61	M62	M63	M64	M65	M66	M67	M68	M69	M70	M71	M72	M73	M74	M75	M76	M77	M78	M79	M80	M81	M82	M83	M84	M85	M86	M87	M88	M89	M90	M91	M92	M93	M94	M95	M96	M97	M98	M99	M100
13.4 to 14.4	77	47	147	91	96	120	121	112	143	73	68	147	63	105	94	59	173	133	78	52	30	77	47	147	91	96	120	121	112	143	73	68	147	63	105	94	59	173	133	78	52	30	77	47	147	91	96	120	121	112	143	73	68	147	63	105	94	59	173	133	78	52	30	77	47	147	91	96	120	121	112	143	73	68	147	63	105	94	59	173	133	78	52	30	77	47	147	91	96	120	121	112	143	73	68	147	63	105	94	59
13.5 to 14.5	77	47	147	91	96	120	121	112	143	73	68	147	63	105	94	59	173	133	78	52	30	77	47	147	91	96	120	121	112	143	73	68	147	63	105	94	59	173	133	78	52	30	77	47	147	91	96	120	121	112	143	73	68	147	63	105	94	59	173	133	78	52	30	77	47	147	91	96	120	121	112	143	73	68	147	63	105	94	59	173	133	78	52	30	77	47	147	91	96	120	121	112	143	73	68	147	63	105	94	59
13.6 to 14.6	77	47	147	91	96	120	121	112	143	73	68	147	63	105	94	59	173	133	78	52	30	77	47	147	91	96	120	121	112	143	73	68	147	63	105	94	59	173	133	78	52	30	77	47	147	91	96	120	121	112	143	73	68	147	63	105	94	59	173	133	78	52	30	77	47	147	91	96	120	121	112	143	73	68	147	63	105	94	59	173	133	78	52	30	77	47	147	91	96	120	121	112	143	73	68	147	63	105	94	59
13.7 to 14.7	73	46	130	78	90	70	86	103	119	60	25	121	62	97	65	56	144	92	65	47	30	73	46	130	78	90	70	86	103	119	60	25	121	62	97	65	56	144	92	65	47	30	73	46	130	78	90	70	86	103	119	60	25	121	62	97	65	56	144	92	65	47	30	73	46	130	78	90	70	86	103	119	60	25	121	62	97	65	56	144	92	65	47	30	73	46	130	78	90	70	86	103	119	60	25	121	62	97	65	56
13.8 to 14.8	47	14	85	67	48	54	48	56	20	18	22	100	19	28	38	29	45	33	31	45	0	47	14	85	67	48	54	48	56	20	18	22	100	19	28	38	29	45	33	31	45	0	47	14	85	67	48	54	48	56	20	18	22	100	19	28	38	29	45	33	31	45	0	47	14	85	67	48	54	48	56	20	18	22	100	19	28	38	29	45	33	31	45	0	47	14	85	67	48	54	48	56	20	18	22	100	19	28	38	29
13.9 to 14.9	47	14	85	67	48	54	48	56	20	18	22	100	19	28	38	29	45	33	31	45	0	47	14	85	67	48	54	48	56	20	18	22	100	19	28	38	29	45	33	31	45	0	47	14	85	67	48	54	48	56	20	18	22	100	19	28	38	29	45	33	31	45	0	47	14	85	67	48	54	48	56	20	18	22	100	19	28	38	29	45	33	31	45	0	47	14	85	67	48	54	48	56	20	18	22	100	19	28	38	29
14 to 15	7	11	50	50	8	50	0	50	10	0	13	50	19	19	4	14	27	23	16	9	0	7	11	50	50	8	50	0	50	10	0	13	50	19	19	4	14	27	23	16	9	0	7	11	50	50	8	50	0	50	10	0	13	50	19	19	4	14	27	23	16	9	0	7	11	50	50	8	50	0	50	10	0	13	50	19	19	4	14	27	23	16	9	0	7	11	50	50	8	50	0	50	10	0	13	50	19	19	4	14
14.1 to 15.1	19	34	78	82	23	53	11	64	30	6	13	67	50	19	5	14	61	42	30	35	29	19	34	78	82	23	53	11	64	30	6	13	67	50	19	5	14	61	42	30	35	29	19	34	78	82	23	53	11	64	30	6	13	67	50	19	5	14	61	42	30	35	29	19	34	78	82	23	53	11	64	30	6	13	67	50	19	5	14	61	42	30	35	29	19	34	78	82	23	53	11	64	30	6	13	67	50	19	5	14
14.2 to 15.2	12	23	28	32	15	3	11	14	20	6	0	17	31	0	1	0	34	19	14	26	29	12	23	28	32	15	3	11	14	20	6	0	17	31	0	1	0	34	19	14	26	29	12	23	28	32	15	3	11	14	20	6	0	17	31	0	1	0	34	19	14	26	29	12	23	28	32	15	3	11	14	20	6	0	17	31	0	1	0	34	19	14	26	29	12	23	28	32	15	3	11	14	20	6	0	17	31	0	1	0
14.3 to 15.3	19	56	82	39	70	18	48	59	41	42	9	60	58	72	57	24	92	54	35	29	65	19	56	82	39	70	18	48	59	41	42	9	60	58	72	57	24	92	54	35	29	65	19	56	82	39	70	18	48	59	41	42	9	60	58	72	57	24	92	54	35	29	65	19	56	82	39	70	18	48	59	41	42	9	60	58	72	57	24	92	54	35	29	65	19	56	82	39	70	18	48	59	41	42	9	60	58	72	57	24
14.4 to 15.4	19	56	82	39	70	18	48	59	41	42	9	60	58	72	57	24	92	54	35	29	65	19	56	82	39	70	18	48	59	41	42	9	60	58	72	57	24	92	54	35	29	65	19	56	82	39	70	18	48	59	41	42	9	60	58	72	57	24	92	54	35	29	65	19	56	82	39	70	18	48	59	41	42	9	60	58	72	57	24	92	54	35	29	65	19	56	82	39	70	18	48	59	41	42	9	60	58	72	57	24
14.5 to 15.5	19	56	82	39	70	18	48	59	41	42	9	60	58	72	57	24	92	54	35	29	65	19	56	82	39	70	18	48	59	41	42	9	60	58	72	57	24	92	54	35	29	65	19	56	82	39	70	18	48	59	41	42	9	60	58	72	57	24	92	54	35	29	65	19	56	82	39	70	18	48	59	41	42	9	60	58	72	57	24	92	54	35	29	65	19	56	82	39	70	18	48	59	41	42	9	60	58	72	57	24
14.6 to 15.6	19	56	82	39	70	18	48	59	41	42	9	60	58	72	57	24	92	54	35	29	65	19	56	82	39	70	18	48	59	41	42	9	60	58	72	57	24	92	54	35	29	65	19	56	82	39	70	18	48	59	41	42	9	60	58	72	57	24	92	54	35	29	65	19	56	82	39	70	18	48	59	41	42	9	60	58	72	57	24	92	54	35	29	65	19	56	82	39	70	18	48	59	41	42	9	60	58	72	57	24
14.7 to 15.7	19	56	82	39	70	18	48	59	41	42	9	60	58	72	57	24	92	54	35	29	65	19	56	82	39	70	18	48	59	41	42	9	60	58	72	57	24	92	54	35	29	65	19	56	82	39	70	18	48	59	41	42	9	60	58	72	57	24	92	54	35	29	65	19	56	82	39	70	18	48	59	41	42	9	60	58	72	57	24	92	54	35	29	65	19	56	82	39	70	18	48	59	41	42	9	60	58	72	57	24
14.8 to 15.8	19	56	82	39	70	18	48	59	41	42	9	60	58	72	57	24	92	54	35	29	65	19	56	82	39	70	18	48	59	41	42	9	60	58	72	57	24	92	54	35	29	65	19	56	82	39	70	18	48	59	41	42	9	60	58	72	57	24	92	54	35	29	65	19	56	82	39	70	18	48	59	41	42	9	60	58	72	57	24	92	54	35	29	65	19	56	82	39	70	18	48	59	41	42	9	60	58	72	57	24
14.9 to 15.9	19	56	82	39	70	18	48	59	41	42	9	60	58	72	57	24	92	54	35	29	65	19	56	82	39	70	18	48	59	41	42	9	60	58	72	57	24	92	54	35	29	65	19	56	82	39	70	18	48	59	41	42	9	60	58	72	57	24	92	54	35	29	65	19	56	82	39	70	18	48	59	41	42	9	60	58	72	57	24	92	54	35	29	65	19	56	82	39	70	18	48	59	41	42	9	60	58	72	57	24
15 to 16	19	56	82	39	70	18	48	59	41	42	9	60	58	72	57	24	92	54	35	29	65	19	56	82	39	70	18	48	59	41	42	9	60	58	72	57	24	92	54	35	29	65	19	56	82	39	70	18	48	59	41	42	9	60	58	72	57	24	92	54	35	29	65	19	56	82	39	70	18	48	59	41	42	9	60	58	72	57	24	92	54	35	29	65	19	56	82	39	70	18	48	59	41	42	9	60	58	72	57	24
15.1 to 16.1	7	33	54	7	55	15	37	45	21	36	9	43	27	72	56	24	58	35	21	3	36	7	33	54	7	55	15	37	45	21	36	9	43	27	72	56	24	58	35	21	3	36	7	33	54	7	55	15	37	45	21	36	9	43	27	72	56	24	58	35	21	3	36	7	33	54	7	55	15	37	45	21	36	9	43	27	72	56	24	58	35	21	3	36	7	33	54	7	55	15	37	45	21	36	9	43	27	72	56	24
15.2 to 16.2	56	47	69	17	60	20	37	75	24	49	9	48	58	75	59	38	78	42	33	8	47	56	47	69	17	60	20	37	75	24	49	9	48	58	75	59	38	78	42	33	8	47	56	47	69	17	60	20	37	75	24	49	9	48	58	75	59	38	78	42	33	8	47	56	47	69	17	60	20	37	75	24	49	9	48	58	75	59	38	78	42	33	8	47	56	47	69	17	60	20	37	75	24	49	9	48	58	75	59	38
15.3 to 16.3	49	14	15	10	5	5	0	30	3	13	0	5	31	3	3	14	20	7	12	5	11	49	14	15	10	5	5	0	30	3	13	0	5	31	3	3	14	20	7	12	5	11	49	14	15	10	5	5	0	30	3	13	0	5	31	3	3	14	20	7	12	5	11	49	14	15	10	5	5	0	30	3	13	0	5	31	3	3	14	20	7	12	5	11	49	14	15	10	5	5	0	30	3	13	0	5	31	3	3	14
15.4 to 16.4	49	14	15	10	5	5	0	30	3	13	0	5	31	3	3	14	20	7	12	5	11	49	14	15	10	5	5	0	30	3	13	0	5	31	3	3	14	20	7	12	5	11	49	14	15	10	5	5	0	30	3	13	0	5	31	3	3	14	20	7	12	5	11	49	14	15	10	5	5	0	30	3	13	0	5	31	3	3	14	20	7	12	5	11	49	14	15	10	5	5	0	30	3	13	0	5	31	3	3	14
15.5 to 16.5	49	14	15	10	5	5	0	30	3	13	0	5	31	3	3	14	20	7	12	5	11	49	14	15	10	5	5	0	30	3	13	0	5	31	3	3	14	20	7	12	5	11	49	14	15	10	5	5	0	30	3	13	0	5	31	3	3	14	20	7	12	5	11	49	14	15	10	5	5	0	30	3	13	0	5	31	3	3	14	20	7	12	5	11	49	14	15	10	5	5	0	30	3	13	0	5	31	3	3	14
15.6 to 16.6	82	17	34	15	13	15	18	69	48	35	1	38	31	17	19	58	38	21	21	10	14	82	17	34	15	13	15	18	69	48	35	1	38	31	17	19	58	38	21	21	10	14	82	17	34	15	13	15	18	69	48	35	1	38	31	17	19	58	38	21	21	10	14	82	17	34	15	13	15	18	69	48	35	1	38	31	17	19	58	38	21	21	10	14	82	17	34	15	13	15	18	69	48	35	1	38	31	17	19	58
15.7 to 16.7	82	17	34	15	13	15	18	69	48	35	1	38	31	17	19	58	38	21	21	10	14	82	17	34	15	13	15	18	69	48	35	1	38	31	17	19	58	38	21	21	10	14	82	17	34	15	13	15	18	69	48	35	1	38	31	17	19	58	38	21	21	10	14	82	17	34	15	13	15	18	69	48	35	1	38	31	17	19	58	38	21	21	10	14	82	17	34	15	13	15	18	69	48	35	1	38	31	17	19	58
15.8 to 16.8	82	17	34	15	13	15	18	69	48	35	1	38	31	17	19	58	38	21	21	10	14	82	17	34	15	13	15	18	69	48	35	1	38	31	17	19	58	38	21	21	10	14	82	17	34	15	13	15	18	69	48	35	1	38	31	17	19	58	38	21	21	10	14	82	17	34	15	13	15	18	69	48	35	1	38	31	17	19	58	38	21	21	10	14	82	17	34	15	13	15	18	69	48	35	1	38	31	17	19	58
15.9 to 16.9	82	17	34	15	13	15	18	69	48	35	1	38	31	17	19	58	38	21	21	10	14	82	17	34	15	13	15	18	69	48	35	1	38	31	17	19	58	38	21	21	10	14	82	17	34	15	13	15	18	69	48	35	1	38	31	17	19	58	38	21	21	10	14	82	17	34	15	13	15	18	69	48	35	1	38	31	17	19	58	38	21	21	10	14	82	17	34	15	13	15	18	69	48	35	1	38	31	17	19	58
16 to 17	91	35	50	64	42	31	54	105	58	50	19	61	50	44	69	63	68	32	46	14	18	91	35	50	64	42	31	54	105	58	50	19	61	50	44	69	63	68	32	46	14	18	91	35	50	64	42	31	54	105	58	50	19	61	50	44	69	63	68	32	46	14	18	91	35	50	64	42	31	54	105	58	50	19	61	50	44	69	63	68	32	46	14	18	91	35	50	64	42	31	54	105	58	50	19	61	50	44	69	63
16.1 to 17.1	91	35	50	64	42	31	54	105	58	50	19	61	50	44	69	63	68	32	46	14	18	91	35	50	64	42	31	54	105	58	50	19	61	50	44	69	63	68	32	46	14	18	91	35	50	64	42	31	54	105	58	50	19	61	50	44	69	63	68	32	46	14	18	91	35	50	64	42	31	54	105	58	50	19	61	50	44	69	63	68	32	46	14	18	91	35	50	64	42	31	54	105	58	50	19	61	50	44	69	63
16.2 to 17.2	63	56	88	123	91	55	70	89	74	52	28	102	104	104	93	120	64	46	61	43	52	63	56	88	123	91	55	70	89	74	52	28	102	104	104	93	120	64	46	61	43	52	63	56	88	123	91	55	70	89	74	52	28	102	104	104	93	120	64	46	61	43	52	63	56	88	123	91	55	70	89	74	52	28	102	104	104	93	120	64	46	61	43	52	63	56	88	123	91	55	70	89	74	52	28	102	104	104	93	120
16.3 to 17.3	63	56	88	123	91	55	70	89	74	52	28	102	104	104	93	120	64	46	61	43	52	63	56	88	123	91	55	70	89	74	52	28	102	104	104	93	120	64	46	61	43	52	63	56	88	123	91	55	70	89	74	52	28	102	104	104	93	120	64	46	61	43	52	63	56	88	123	91	55	70	89	74	52	28	102	104	104	93	120	64	46	61	43	52	63	56	88	123	91	55	70	89	74	52	28	102	104	104	93	120
16.4 to 17.4	63	56	88	123	91	55	70	89	74	52	28	102	104	104	93	120	64	46	61	43	52	63	56	88	123	91	55	70	89	74	52	28	102	104	104	93	120	64	46	61	43	52	63	56	88	123	91	55	70	89	74	52	28	102	104	104	93	120	64	46	61	43	52	63	56	88	123	91	55	70	89	74	52	28	102	104	104	93	120	64	46	61	43	52	63	56	88	123	91	55	70	89	74	52	28	102	104	104	93	120
16.5 to 17.5	86	62	95	133	107	74	83	123	93	75	44	125	119	121	113	145	67	63	88	44	52	86	62	95	133	107	74	83	123	93	75	44	125	119	121	113	145	67	63	88	44	52	86	62	95	133	107	74	83	123	93	75	44	125	119	121	113	145	67	63	88	44	52	86	62	95	133	107	74	83	123	93	75	44	125	119	121	113	145	67	63	88	44	52	86	62	95	133	107	74	83	123	93	75	44	125	119	121	113	145
16.6 to 17.6	53	59	76	128	99	64	65	84	48	53	43	92	119	107	97	101	49	49	79	39	49	53	59	76	128	99	64	65	84	48	53	43	92	119	107	97	101	49	49	79	39	49	53	59	76	128	99	64	65	84	48	53	43	92	119	107	97	101	49	49	79	39	49	53	59	76	128	99	64	65	84	48	53	43	92	119	107	97	101	49	49	79	39	49	53	59	76	128	99	64	65	84	48	53	43	92	119	107	97	101
16.7 to 17.7	53	59	76	128	99	64	65	84	48	53	43	92	119	107	97	101	49	49	79	39	49	53	59	76	128	99	64	65	84	48	53	43	92	119	107	97	101	49	49	79	39	49	53	59	76	128	99	64	65	84	48	53	43	92	119	107	97	101	49	49	79	39	49	53	59	76	128	99	64	65	84	48	53	43	92	119	107	97	101	49	49	79	39	49	53	59	76	128	99	64	65	84	48	53	43	92	119	107	97	101
16.8 to 17.8	53	59	76	128	99	64	65	84	48	53	43	92	119	107	97	101	49	49	79	39	49	53	59	76	128	99	64	65	84	48	53	43	92	119	107	97	101	49	49	79	39	49	53	59	76	128	99	64	65	84	48	53	43	92	119	107	97	101	49	49	79	39	49	53	59	76	128	99	64	65	84	48	53	43	92	119	107	97	101	49	49	79	39	49	53	59	76	128	99	64	65	84	48	53	43	92	119	107	97	101
16.9 to 17.9	53	59	76	128	99	64	65	84	48	53	43	92	119	107	97	101	49	49	79	39	49	53	59	76	128	99	64	65	84	48	53	43	92	119	107	97	101	49	49	79	39	49	53	59	76	128	99	64	65	84	48	53	43	92	119	107	97	101	49	49	79	39	49	53	59	76	128	99	64	65	84	48	53	43	92	119	107	97	101	49	49	79	39	49	53	59	76	128	99	64	65	84	48	53	43	92	119	107	97	101
17 to 18	44	41	60	79	70	48	29	48	38	38	25	69	100	80	47	96	19	38	54	35	45	44	41	60	79	70	48	29	48	38	38	25	69	100	80	47	96	19	38	54	35	45	44	41	60	79	70	48	29	48	38	38	25	69	100	80	47	96	19	38	54	35	45	44	41	60	79	70	48	29	48	38	38	25	69	100	80	47	96	19	38	54	35	45	44	41	60	79	70	48	29	48	38	38	25	69	100	80	47	96
17.1 to 18.1	44	41	60	79	70	48	29	48	38	38	25	69	100	80	47	96	19	38	54	35	45	44	41	60	79	70	48	29	48	38	38	25	69	100	80	47	96	19	38	54	35	45	44	41	60	79	70	48	29	48	38	38	25	69	100	80	47	96	19	38	54	35	45	44	41	60	79	70	48	29	48	38	38	25	69	100	80	47	96	19	38	54	35	45	44	41	60	79	70	48	29	48	38	38	25	69	100	80	47	96
17.2 to 18.2	23	6	7	10	16	19	13	34	19	23	16	23	15	17	20	25	3	17	27	1	0	23	6	7	10	16	19	13	34	19	23	16	23	15	17	20	25	3	17	27	1	0	23	6	7	10	16	19	13	34	19	23	16	23	15	17	20	25	3	17	27	1	0	23	6	7	10	16	19	13	34	19	23	16	23	15	17	20	25	3	17	27	1	0	23	6	7	10	16	19	13	34	19	23	16	23	15	17	20	25
17.3 to 18.3	23	6	7	10	16	19	13	34	19	23	16	23	15	17	20	25	3	17	27	1	0	23	6	7	10	16	19	13	34	19	23	16	23	15	17	20	25	3	17	27	1	0	23	6	7	10	16	19	13	34	19	23	16	23	15	17	20	25	3	17	27	1	0	23	6	7	10	16	19	13	34	19	23	16	23	15	17	20	25	3	17	27	1	0	23	6	7	10	16	19	13	34	19	23	16	23	15	17	20	25
17.4 to 18.4	23	6	7	10	16	19	13	34	19	23	16	23	15	17	20	25	3	17	27	1	0	23	6	7	10	16	19	13	34	19	23	16	23	15	17	20	25	3	17	27	1	0	23	6	7	10	16	19	13	34	19	23	16	23	15	17	20	25	3	17	27	1	0	23	6	7	10	16	19	13	34	19	23	16	23	15	17	20	25	3	17	27	1	0	23	6	7	10	16	19	13	34	19	23	16	23	15	17	20	25
17.5 to 18.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17.6 to 18.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17.7 to 18.7	6	2	24	28	23	3	5	31	4	24	2	9	20	6	23	15	29	5	17	16	16	6	2	24	28	23	3	5	31	4	24	2	9	20	6	23	15	29	5	17	16	16	6	2	24	28	23	3	5	31	4	24	2	9	20	6	23	15	29	5	17	16	16	6	2	24	28	23	3	5	31	4	24	2	9	20	6	23	15	29	5	17	16	16	6	2	24	28	23	3	5	31	4	24	2	9	20	6	23	15
17.8 to 18.8	6	2	24	28	23	3	5	31	4	24	2	9	20	6	23	15	29	5	17	16	16	6	2	24	28	23	3	5	31	4	24	2	9	20	6	23	15	29	5	17	16	16	6	2	24	28	23	3	5	31	4	24	2	9	20	6	23	15	29	5	17	16	16	6	2	24	28	23	3	5	31	4	24	2	9	20	6	23	15	29	5	17	16	16	6	2	24	28	23	3	5	31	4	24	2	9	20	6	23	15
17.9 to 18.9	6	2	24	28	23	3	5	31	4	24	2	9	20	6	23	15	29	5	17	16	16	6	2	24	28	23	3	5	31	4	24	2	9	20	6	23	15	29	5	17	16	16	6	2	24	28	23	3	5	31	4	24	2	9	20	6	23	15	29	5	17	16	16	6	2	24	28	23	3	5	31	4	24	2	9	20	6	23	15	29	5	17	16	16	6	2	24	28	23	3	5	31	4	24	2	9	20	6	23	15
18 to 19	6	2	24	28	23	3	5	31	4	24	2	9	20	6	23	15	29	5	17	16	16	6	2	24	28	23	3	5	31	4	24	2	9	20	6	23	15	29	5	17	16	16	6	2	24	28	23	3	5	31	4	24	2	9	20	6	23	15	29	5	17	16	16	6	2	24	28	23	3	5	31	4	24	2	9	20	6	23	15	29	5	17	16	16	6	2	24	28	23	3	5	31	4	24	2	9	20	6	23	15
18.1 to 19.1	6	2	24	28	23	3	5	31	4	24	2	9	20	6	23	15	29	5	17	16	16	6	2	24	28	23	3	5	31	4	24	2	9	20	6	23	15	29	5	17	16	16	6	2	24	28	23	3	5	31	4	24	2	9	20	6	23	15	29	5	17	16	16	6	2	24	28	23	3	5	31	4	24	2	9	20	6	23	15	29	5	17	16	16	6	2	24	28	23	3	5	31	4	24	2	9	20	6	23	15
18.2 to 19.2	28	6	55	45	44	15	22	48	42	43	15	27	70	11	41	29	53	21	44	35	45	28	6	55	45	44	15	22	48	42	43	15	27	70	11	41	29	53	21	44	35	45	28	6	55	45	44	15	22	48	42	43	15	27	70	11	41	29	53	21	44	35	45	28	6	55	45	44	15	22	48	42	43	15	27	70	11	41	29	53	21	44	35	45	28	6	55	45	44	15	22	48	42	43	15	27	70	11	41	29
18.3 to 19.3	28	6	55	45	44	15	22	48	42	43	15	27	70	11	41	29	53	21	44	35	45	28	6	55	45	44	15	22	48	42	43	15	27	70	11	41	29	53	21	44	35	45	28	6	55	45	44	15	22	48	42	43	15	27	70	11	41	29	53	21	44	35	45	28	6	55	45	44	15	22	48	42	43	15	27	70	11	41	29	53	21	44	35	45	28	6	55	45	44	15	22	48	42	43	15	27	70	11	41	29
18.4 to 19.4	28	6	55	45	44	15	22	48	42	43	15	27	70	11	41	29	53	21	44	35	45	28	6	55	45	44	15	22	48	42	43	15	27	70	11	41	29	53	21	44	35	45	28	6	55	45	44	15	22	48	42	43	15	27	70	11	41	29	53	21	44	35	45	28	6	55	45	44	15	22	48	42	43	15	27	70	11	41	29	53	21	44	35	45	28	6	55	45	44	15	22	48	42	43	15	27	70	11	41	29
18.5 to 19.5	28	6	55	45	44	15	22	48	42	43	15	27	70	11	41	29	53	21	44	35	45	28	6	55	45	44	15	22	48	42	43	15	27	70	11	41	29	53	21	44	35	45	28	6	55	45	44	15	22	48	42	43	15	27	70	11	41	29	53	21	44	35	45	28	6	55	45	44	15	22	48	42	43	15	27	70	11	41	29	53	21	44	35	45	28	6	55	45	44	15	22	48	42	43	15	27	70	11	41	29
18.6 to 19.6	28	6	55	45	44	15	22	48	42	43	15	27	70	11	41	29	53	21	44	35	45	28	6	55	45	44	15	22	48	42	43	15	27	70	11	41	29	53	21	44	35	45	28	6	55	45	44	15	22	48	42	43	15	27	70	11	41	29	53	21	44	35	45	28	6	55	45	44	15	22	48	42	43	15	27	70	11	41	29	53	21	44	35	45	28	6	55	45	44	15	22	48	42	43	15	27	70	11	41	29
18.7 to 19.7	22	4	31	17	21	12	17	17	38	19	13	18	50	5	18	14	24	16	27	19	29	22	4	31	17	21	12	17	17	38	19	13	18	50	5	18	14	24	16	27	19	29	22	4	31	17	21	12	17	17	38	19	13	18	50	5	18	14	24	16	27	19	29	22	4	31	17	21	12	17	17	38	19	13	18	50	5	18	14	24	16	27	19	29	22	4	31	17	21	12	17	17	38	19	13	18	50	5	18	14
18.8 to 19.8	22	4	31	17	21	12	17	17	38	19	13	18	50	5	18	14	24	16	27	19	29	22	4	31	17	21	12	17	17	38	19	13	18	50	5	18	14	24	16	27	19	29	22	4	31	17	21	12	17	17	38	19	13	18	50	5	18	14	24	16	27	19	29	22	4	31	17	21	12	17	17	38	19	13	18	50	5	18	14	24	16	27	19	29	22	4	31	17	21	12	17	17	38	19	13	18	50	5	18	14
18.9 to 19.9	22	4	31	17	21	12	17	17	38	19	13	18	50	5	18	14	24	16	27	19	29	22	4	31	17	21	12	17	17	38	19	13	18	50	5	18	14	24	16	27	19	29	22	4	31	17	21	12	17	17	38	19	13	18	50	5	18	14	24	16	27	19	29	22	4	31	17	21	12	17	17	38	19	13	18	50	5	18	14	24	16	27	19	29	22	4	31	17	21	12	17	17	38	19	13	18	50	5	18	14
19 to 20	22	4	31	17	21	12	17	17	38	19	13	18	50	5	18	14	24	16	27	19	29	22	4	31	17	21	12	17	17	38	19	13	18	50	5	18	14	24	16	27	19	29	22	4	31	17	21	12	17	17	38	19	13	18	50	5	18	14	24	16	27	19	29	22	4	31	17	21	12	17	17	38	19	13	18	50	5	18	14	24	16	27	19	29	22	4	31	17	21	12	17	17	38	19	13	18	50	5	18	14
19.1 to 20.1	22	4	31	17	21	12	17	17	38	19	13	18	50	5	18	14	24	16	27	19	29	22	4	31	17	21	12	17	17	38	19	13	18	50	5	18	14	24	16	27	19	29	22	4	31	17	21	12	17	17	38	19	13	18	50	5	18	14	24	16	27	19	29	22	4	31	17	21	12	17	17	38	19	13	18	50	5	18	14	24	16	27	19	29	22	4	31	17	21	12	17	17	38	19	13	18	50	5	18	14
19.2 to 20.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19.3 to 20.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19.4 to 20.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19.5 to 20.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19.6 to 20.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19.7 to 20.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19.8 to 20.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
